,opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
13,15,MIA,SD,30,26,442,302,140,7,48,2,3,110,31,2333
14,16,MIA,IND,18,20,268,168,100,6,60,0,5,255,44,1631
15,17,MIA,NE,10,12,196,126,70,7,41,0,7,361,43,1735
0,1,MIN,SF,20,25,395,165,230,8,57,1,3,140,44,1982
1,2,MIN,DET,16,25,323,285,38,6,39,3,4,177,35,1734
2,3,MIN,SD,14,21,369,279,90,7,74,2,6,263,38,2009
3,4,MIN,DEN,23,18,344,200,144,8,40,2,3,141,45,1566
4,6,MIN,KC,10,16,328,271,57,8,95,1,6,250,39,1613
5,7,MIN,DET,19,14,274,197,77,5,30,0,6,296,46,1413
6,8,MIN,CHI,20,18,305,208,97,4,38,0,5,221,29,1962
7,9,MIN,STL,18,18,320,160,160,12,87,0,8,372,42,1947
8,10,MIN,OAK,14,20,371,287,84,8,82,2,6,257,40,1619
9,11,MIN,GB,30,19,320,196,124,4,19,0,4,152,38,1822
10,12,MIN,ATL,10,22,329,213,116,6,78,3,2,98,48,1592
11,13,MIN,SEA,38,25,433,260,173,9,65,1,2,78,27,2110
12,14,MIN,ARI,23,22,393,296,97,4,30,0,3,133,38,1919
13,15,MIN,CHI,17,21,293,199,94,6,39,2,4,161,40,1670
14,16,MIN,NYG,17,15,363,272,91,7,48,3,6,241,40,1503
15,17,MIN,GB,13,19,350,274,76,7,54,2,4,178,39,2142
0,1,NE,PIT,21,23,464,330,134,8,77,1,2,87,43,1925
1,2,NE,BUF,32,23,349,189,160,14,140,3,6,249,35,1803
2,3,NE,JAC,17,15,293,236,57,7,114,1,4,195,42,1520
3,5,NE,DAL,6,18,264,164,100,7,50,2,6,298,41,1992
4,6,NE,IND,27,24,409,289,120,11,103,0,6,287,47,1952
5,7,NE,NYJ,23,25,372,283,89,4,29,1,4,161,31,1983
6,8,NE,MIA,7,18,270,255,15,7,40,2,6,349,45,1643
7,9,NE,WAS,10,16,250,213,37,4,27,2,4,188,48,1375
8,10,NE,NYG,26,21,422,342,80,8,49,1,4,164,20,1704
9,11,NE,BUF,13,16,319,225,94,5,44,1,7,319,41,1975
10,12,NE,DEN,30,23,433,254,179,6,46,1,8,347,38,2191
11,13,NE,PHI,35,15,248,120,128,8,97,2,7,328,41,1544
12,14,NE,HOU,6,7,189,102,87,4,36,1,7,317,39,1486
13,15,NE,TEN,16,15,282,223,59,3,29,3,5,272,47,1823
14,16,NE,NYJ,26,24,428,285,143,6,39,1,5,239,40,2044
15,17,NE,MIA,20,20,438,342,96,10,93,0,5,243,39,1865
0,1,NO,ARI,31,25,427,307,120,5,30,1,4,158,39,1596
1,2,NO,TB,26,18,333,194,139,11,90,2,3,116,39,1712
2,3,NO,CAR,27,24,431,312,119,10,88,0,4,173,23,1636
3,4,NO,DAL,20,21,335,220,115,6,30,0,5,209,35,1760
4,5,NO,PHI,39,34,519,333,186,4,35,2,1,50,49,2042
5,6,NO,ATL,21,23,413,263,150,7,41,3,4,124,22,1650
6,7,NO,IND,21,15,376,301,75,7,42,3,10,517,45,1297
7,8,NO,NYG,49,28,416,329,87,6,53,1,4,212,41,1501
8,9,NO,TEN,34,25,483,371,112,9,66,1,5,253,46,1941
9,10,NO,WAS,47,24,526,301,225,5,26,0,2,87,39,2014
10,12,NO,HOU,24,23,362,195,167,6,40,1,4,189,29,2183
11,13,NO,CAR,41,33,497,322,175,8,87,3,3,114,36,2194
12,14,NO,TB,17,18,291,176,115,8,80,0,5,206,40,1366
13,15,NO,DET,35,24,396,246,150,10,92,1,3,133,40,1776
14,16,NO,JAC,27,21,412,347,65,8,55,2,3,150,50,1327
15,17,NO,ATL,17,25,419,327,92,4,32,2,2,74,37,1826
0,1,NYG,DAL,27,27,436,356,80,3,35,3,2,107,52,2230
1,2,NYG,ATL,24,25,402,346,56,6,65,0,5,273,37,1895
2,3,NYG,WAS,21,22,393,305,88,7,58,3,2,36,12,1710
3,4,NYG,BUF,10,14,313,258,55,17,135,2,7,363,49,1767
4,5,NYG,SF,27,22,380,256,124,4,28,0,3,138,36,1682
5,6,NYG,PHI,27,24,425,270,155,9,72,4,4,217,50,1830
6,7,NYG,DAL,20,27,460,227,233,7,46,4,2,66,33,2284
7,8,NYG,NO,52,36,614,511,103,12,93,2,2,95,41,2099
8,9,NYG,TB,18,19,385,249,136,9,79,3,2,85,33,1505
9,10,NYG,NE,27,22,406,329,77,7,93,2,4,200,40,1896
10,12,NYG,WAS,20,18,407,302,105,7,80,0,6,268,42,2160
11,13,NYG,NYJ,23,28,463,373,90,8,61,1,5,224,26,2311
12,14,NYG,MIA,24,16,363,235,128,12,123,1,6,280,38,1769
13,15,NYG,CAR,38,28,480,309,171,7,88,1,7,318,41,1852
14,16,NYG,MIN,49,17,368,150,218,2,10,0,4,162,38,2097
15,17,NYG,PHI,35,23,435,315,120,3,11,2,3,124,33,1686
0,1,NYJ,CLE,10,15,321,217,104,12,109,5,2,121,54,1900
1,2,NYJ,IND,7,17,343,250,93,11,84,5,3,149,50,1692
2,3,NYJ,PHI,24,18,231,108,123,5,21,1,9,440,41,1691
3,4,NYJ,MIA,14,17,226,167,59,9,80,2,7,322,41,1357
4,6,NYJ,WAS,20,14,225,191,34,3,15,2,6,288,42,1641
5,7,NYJ,NE,30,20,353,337,16,4,38,0,3,134,43,1617
6,8,NYJ,OAK,34,21,451,333,118,6,61,0,3,135,42,1838
7,9,NYJ,JAC,23,19,436,338,98,4,30,4,5,203,32,1756
8,10,NYJ,BUF,22,13,280,132,148,5,44,0,8,347,42,1996
9,11,NYJ,HOU,24,19,364,241,123,3,54,1,8,417,42,2005
10,12,NYJ,MIA,20,20,333,321,12,6,45,2,8,360,33,1724
11,13,NYJ,NYG,20,14,355,281,74,8,60,1,5,211,42,1796
12,14,NYJ,TEN,8,15,292,268,24,3,20,1,6,289,43,1444
13,15,NYJ,DAL,16,15,309,176,133,6,54,4,4,198,48,1663
14,16,NYJ,NE,20,16,284,221,63,1,7,1,4,184,44,1713
15,17,NYJ,BUF,22,18,295,182,113,4,45,1,5,243,44,2353
0,1,OAK,CIN,33,22,396,269,127,6,50,0,5,219,38,1952
1,2,OAK,BAL,33,29,493,384,109,10,109,2,2,92,44,1827
2,3,OAK,CLE,20,21,355,316,39,6,50,2,4,211,51,1651
3,4,OAK,CHI,22,23,371,273,98,7,48,3,3,136,36,2002
4,5,OAK,DEN,16,15,297,254,43,6,103,2,6,252,31,1551
5,7,OAK,SD,29,28,417,327,90,9,86,2,5,211,32,1751
6,8,OAK,NYJ,20,22,366,292,74,6,40,1,4,182,44,1762
7,9,OAK,PIT,38,27,597,402,195,5,42,2,5,208,41,1924
8,10,OAK,MIN,30,21,385,122,263,3,15,0,3,143,40,1981
9,11,OAK,DET,18,22,375,266,109,7,55,0,5,238,44,2162
10,12,OAK,TEN,21,19,249,205,44,4,25,2,6,287,40,1505
11,13,OAK,KC,34,15,232,143,89,11,88,2,5,250,46,1532
12,14,OAK,DEN,12,20,310,276,34,4,27,2,4,178,37,2158
13,15,OAK,GB,30,18,293,190,103,6,75,2,4,211,49,1769
14,16,OAK,SD,20,19,343,271,72,9,75,1,5,214,41,2104
15,17,OAK,KC,23,23,339,150,189,5,55,2,5,178,36,2095
0,1,PHI,ATL,26,21,395,290,105,7,57,2,4,231,52,2127
1,2,PHI,DAL,20,21,359,250,109,18,142,2,6,315,46,2430
2,3,PHI,NYJ,17,19,323,276,47,6,53,4,8,371,35,1909
3,4,PHI,WAS,23,25,417,290,127,10,110,1,5,221,31,2468
4,5,PHI,NO,17,19,388,292,96,7,78,4,6,237,36,1558
5,6,PHI,NYG,7,18,251,170,81,12,92,3,8,339,39,1770
6,7,PHI,CAR,27,21,394,190,204,5,43,3,4,157,39,1734
7,9,PHI,DAL,27,25,411,277,134,8,58,1,4,175,44,2299
8,10,PHI,MIA,20,15,289,190,99,8,84,0,8,393,42,1733
9,11,PHI,TB,45,25,521,238,283,9,82,1,4,179,38,2154
10,12,PHI,DET,45,28,430,322,108,4,29,0,4,184,45,2231
11,13,PHI,NE,28,27,427,324,103,3,30,2,7,303,24,2056
12,14,PHI,BUF,20,18,412,260,152,15,101,2,7,315,35,2102
13,15,PHI,ARI,40,28,493,263,230,1,10,0,4,156,36,2248
14,16,PHI,WAS,38,25,418,351,67,8,70,0,7,347,47,2055
15,17,PHI,NYG,30,30,502,294,208,2,10,1,3,107,36,1914
0,1,PIT,NE,28,26,361,281,80,7,64,0,4,171,42,1675
1,2,PIT,SF,18,27,409,298,111,7,46,1,4,171,39,2219
2,3,PIT,STL,6,12,258,187,71,7,97,1,4,170,38,1661
3,4,PIT,BAL,23,21,356,165,191,4,30,2,4,204,38,2263
4,5,PIT,SD,20,24,406,354,52,7,54,2,5,267,48,2023
5,6,PIT,ARI,13,21,469,414,55,9,111,3,3,129,34,1869
6,7,PIT,KC,23,18,377,239,138,6,66,0,3,164,54,1946
7,8,PIT,CIN,16,16,296,218,78,10,94,2,4,136,34,1791
8,9,PIT,OAK,35,24,440,301,139,3,21,4,7,277,39,1676
9,10,PIT,CLE,9,20,342,327,15,12,188,3,4,160,40,1963
10,12,PIT,SEA,39,21,436,336,100,8,76,0,6,255,36,1680
11,13,PIT,IND,10,11,240,186,54,5,30,3,5,211,27,1630
12,14,PIT,CIN,20,22,385,321,64,4,27,3,2,96,47,1453
13,15,PIT,DEN,27,20,385,281,104,12,127,2,6,258,39,1724
14,16,PIT,BAL,20,22,386,265,121,12,121,0,6,234,32,2060
15,17,PIT,CLE,12,22,263,177,86,8,47,4,3,143,46,2037
0,1,SEA,STL,34,19,352,276,76,4,30,3,3,142,26,1712
1,2,SEA,GB,27,21,361,234,127,6,35,1,3,139,39,1998
2,3,SEA,CHI,0,7,146,48,98,6,40,0,10,477,38,1644
3,4,SEA,DET,10,12,256,203,53,4,37,1,8,367,38,1676
4,5,SEA,CIN,27,27,419,310,109,7,50,2,6,293,44,2449
5,6,SEA,CAR,27,25,383,248,135,5,25,2,5,243,43,1932
6,7,SEA,SF,3,8,142,81,61,4,33,0,9,390,42,1315
7,8,SEA,DAL,12,14,220,91,129,5,40,0,4,188,44,1822
8,10,SEA,ARI,39,30,451,334,117,9,71,3,3,134,45,2332
9,11,SEA,SF,13,14,306,247,59,5,42,0,7,306,44,1341
10,12,SEA,PIT,30,26,538,480,58,6,65,4,2,79,40,1920
11,13,SEA,MIN,7,9,125,94,31,9,95,1,7,281,36,1490
12,14,SEA,BAL,6,16,302,274,28,9,94,2,5,226,41,1457
13,15,SEA,CLE,13,15,230,136,94,4,40,1,3,129,41,1527
14,16,SEA,STL,23,14,207,103,104,5,60,0,6,240,37,1674
15,17,SEA,ARI,6,16,232,205,27,6,43,3,6,284,24,1403
0,1,SF,MIN,3,17,248,177,71,5,25,1,4,150,38,1618
1,2,SF,PIT,43,21,453,369,84,7,58,0,3,142,44,1381
2,3,SF,ARI,47,28,446,307,139,4,24,1,4,144,22,2192
3,4,SF,GB,17,18,362,200,162,8,65,0,6,235,37,2194
4,5,SF,NYG,30,30,525,441,84,6,65,1,2,90,37,1918
5,6,SF,BAL,20,25,420,343,77,3,15,2,3,159,52,1987
6,7,SF,SEA,20,21,388,212,176,6,50,2,4,187,40,2285
7,8,SF,STL,27,16,388,191,197,12,93,1,8,436,50,1918
8,9,SF,ATL,16,17,302,285,17,6,63,0,7,304,41,1928
9,11,SF,SEA,29,28,508,253,255,8,51,0,4,154,37,2259
10,12,SF,ARI,19,26,337,267,70,7,47,0,4,183,36,2247
11,13,SF,CHI,20,20,364,194,170,8,72,1,6,257,43,2244
12,14,SF,CLE,24,28,481,251,230,8,71,2,3,119,28,2259
13,15,SF,CIN,24,14,242,174,68,6,45,1,8,413,42,1859
14,16,SF,DET,32,26,371,284,87,7,71,0,3,131,44,2190
15,17,SF,STL,16,21,364,231,133,11,105,0,5,259,48,2310
0,1,STL,SEA,31,21,343,219,124,7,46,1,4,195,24,2248
1,2,STL,WAS,24,19,373,191,182,7,53,1,6,244,37,2264
2,3,STL,PIT,12,17,259,197,62,4,63,1,4,196,41,1939
3,4,STL,ARI,22,26,447,334,113,3,20,3,1,44,44,1993
4,5,STL,GB,24,14,322,236,86,7,67,3,4,191,37,1577
5,7,STL,CLE,6,19,364,282,82,11,98,4,5,227,38,2133
6,8,STL,SF,6,11,189,151,38,13,93,0,10,460,44,1682
7,9,STL,MIN,21,21,293,148,145,6,67,1,8,334,36,1993
8,10,STL,CHI,37,17,397,244,153,4,44,2,4,187,43,2062
9,11,STL,BAL,16,16,388,292,96,10,137,2,7,336,46,1972
10,12,STL,CIN,31,19,376,236,140,3,35,1,4,193,43,1807
11,13,STL,ARI,27,29,524,349,175,3,25,0,6,261,33,2387
12,14,STL,DET,14,22,331,220,111,5,45,1,7,322,41,2030
13,15,STL,TB,23,30,509,363,146,9,56,2,3,122,41,1880
14,16,STL,SEA,17,18,313,253,60,10,83,3,5,202,36,1926
15,17,STL,SF,19,21,458,350,108,7,60,1,5,195,34,1983
0,1,TB,TEN,42,20,309,185,124,8,55,1,4,189,43,1890
1,2,TB,NO,19,21,323,219,104,10,115,3,4,175,35,1888
2,3,TB,HOU,19,30,413,227,186,6,58,1,6,266,33,2176
3,4,TB,CAR,37,17,244,111,133,5,45,1,4,154,30,1670
4,5,TB,JAC,31,21,325,270,55,3,12,2,4,221,34,1519
5,7,TB,WAS,31,27,355,305,50,4,20,1,4,189,43,1722
6,8,TB,ATL,20,28,496,395,101,11,124,4,0,0,0,2345
7,9,TB,NYG,32,24,327,213,114,6,49,2,1,64,63,2095
8,10,TB,DAL,6,12,216,174,42,6,68,1,6,252,42,1804
9,11,TB,PHI,17,21,383,247,136,5,25,4,6,279,40,1446
10,12,TB,IND,25,23,336,309,27,6,45,0,3,156,50,1945
11,13,TB,ATL,19,21,319,255,64,7,58,1,4,193,33,1725
12,14,TB,NO,24,26,388,301,87,12,95,0,4,175,34,2234
13,15,TB,STL,31,16,319,221,98,5,35,0,5,220,44,1720
14,16,TB,CHI,26,21,327,153,174,3,25,0,5,177,29,2223
15,17,TB,CAR,38,23,366,255,111,7,33,2,2,76,38,1910
0,1,TEN,TB,14,16,273,181,92,12,97,2,4,188,44,1710
1,2,TEN,CLE,28,13,274,158,116,4,40,0,6,319,43,1489
2,3,TEN,IND,35,20,378,245,133,11,71,2,5,249,50,1501
3,5,TEN,BUF,14,13,209,82,127,7,62,1,7,357,42,1469
4,6,TEN,MIA,38,26,434,254,180,9,97,2,3,131,39,1913
5,7,TEN,ATL,10,21,378,251,127,6,53,2,4,174,44,2085
6,8,TEN,HOU,20,14,270,214,56,7,85,0,8,407,41,1732
7,9,TEN,NO,28,30,416,357,59,8,75,2,4,183,43,1969
8,10,TEN,CAR,27,24,303,184,119,5,45,0,4,189,47,2155
9,11,TEN,JAC,19,18,308,218,90,8,88,2,4,192,44,1705
10,12,TEN,OAK,24,22,407,323,84,11,94,2,4,169,41,2095
11,13,TEN,JAC,39,20,383,302,81,6,21,1,3,160,43,1586
12,14,TEN,NYJ,30,24,439,256,183,3,20,0,3,138,39,2156
13,15,TEN,NE,33,17,346,253,93,5,35,1,4,182,40,1777
14,16,TEN,HOU,34,19,330,202,128,4,28,1,6,314,47,2173
15,17,TEN,IND,30,20,327,200,127,6,71,1,5,216,41,1997
0,1,WAS,MIA,17,19,256,182,74,6,39,1,4,217,44,1326
1,2,WAS,STL,10,11,213,146,67,9,80,0,8,381,46,1336
2,3,WAS,NYG,32,19,363,279,84,8,67,0,4,171,40,1890
3,4,WAS,PHI,20,14,320,233,87,8,72,2,6,251,38,1132
4,5,WAS,ATL,25,29,418,242,176,4,62,3,1,51,41,2096
5,6,WAS,NYJ,34,22,474,253,221,1,5,3,2,49,16,1959
6,7,WAS,TB,30,21,479,289,190,16,142,1,2,89,43,1878
7,9,WAS,NE,27,27,460,299,161,6,43,2,2,69,30,2225
8,10,WAS,NO,14,16,350,192,158,7,50,2,4,190,44,1586
9,11,WAS,CAR,44,27,368,226,142,8,66,0,4,207,46,2287
10,12,WAS,NYG,14,17,332,299,33,4,35,3,7,353,41,1440
11,13,WAS,DAL,19,16,317,220,97,8,70,3,4,166,42,1633
12,14,WAS,CHI,21,20,377,290,87,7,79,1,5,228,40,1538
13,15,WAS,BUF,25,21,452,212,240,8,56,0,4,140,34,1856
14,16,WAS,PHI,24,23,398,353,45,8,45,2,7,305,42,1545
15,17,WAS,DAL,23,27,512,412,100,4,44,4,5,231,45,1563
0,1,STL,SEA,31,21,343,219,124,7,46,1,4,195,24,2248
1,2,STL,WAS,24,19,373,191,182,7,53,1,6,244,37,2264
2,3,STL,PIT,12,17,259,197,62,4,63,1,4,196,41,1939
3,4,STL,ARI,22,26,447,334,113,3,20,3,1,44,44,1993
4,5,STL,GB,24,14,322,236,86,7,67,3,4,191,37,1577
5,7,STL,CLE,6,19,364,282,82,11,98,4,5,227,38,2133
6,8,STL,SF,6,11,189,151,38,13,93,0,10,460,44,1682
7,9,STL,MIN,21,21,293,148,145,6,67,1,8,334,36,1993
8,10,STL,CHI,37,17,397,244,153,4,44,2,4,187,43,2062
9,11,STL,BAL,16,16,388,292,96,10,137,2,7,336,46,1972
10,12,STL,CIN,31,19,376,236,140,3,35,1,4,193,43,1807
11,13,STL,ARI,27,29,524,349,175,3,25,0,6,261,33,2387
12,14,STL,DET,14,22,331,220,111,5,45,1,7,322,41,2030
13,15,STL,TB,23,30,509,363,146,9,56,2,3,122,41,1880
14,16,STL,SEA,17,18,313,253,60,10,83,3,5,202,36,1926
15,17,STL,SF,19,21,458,350,108,7,60,1,5,195,34,1983
0,1,JAC,CAR,20,17,263,158,105,3,22,1,4,179,38,2046
1,2,JAC,MIA,20,17,386,344,42,13,112,0,6,289,40,1792
2,3,JAC,NE,51,35,471,346,125,4,30,0,0,0,0,2080
3,4,JAC,IND,16,22,326,266,60,4,45,2,6,287,45,2054
4,5,JAC,TB,38,20,369,186,183,10,72,0,3,101,31,2081
5,6,JAC,HOU,31,24,382,287,95,10,69,0,4,155,27,1802
6,7,JAC,BUF,31,26,375,260,115,10,87,4,3,148,49,1882
7,9,JAC,NYJ,28,14,290,261,29,6,41,0,9,351,37,1844
8,10,JAC,BAL,20,22,397,308,89,9,122,4,5,202,36,1768
9,11,JAC,TEN,13,22,316,212,104,6,59,1,5,226,30,1895
10,12,JAC,SD,31,24,369,290,79,8,70,0,6,247,31,1884
11,13,JAC,TEN,42,26,467,257,210,4,38,2,3,133,38,2014
12,14,JAC,IND,16,17,322,227,95,8,85,2,7,335,35,1848
13,15,JAC,ATL,23,22,328,245,83,5,43,1,5,216,40,2073
14,16,JAC,NO,38,29,537,402,135,5,40,0,2,99,38,2273
15,17,JAC,HOU,30,25,402,242,160,9,55,1,4,190,35,2137
0,1,SD,DET,28,16,302,233,69,4,29,2,5,176,35,1308
1,2,SD,CIN,24,20,389,214,175,9,75,2,3,161,47,1791
2,3,SD,MIN,31,18,284,121,163,3,39,1,4,165,41,1591
3,4,SD,CLE,27,20,432,332,100,12,91,1,4,192,47,2059
4,5,SD,PIT,24,14,349,194,155,8,86,1,8,322,40,1577
5,6,SD,GB,27,17,370,237,133,6,50,0,4,162,42,1320
6,7,SD,OAK,37,19,412,282,130,14,136,0,4,152,28,1849
7,8,SD,BAL,29,23,365,293,72,5,46,0,2,122,62,1794
8,9,SD,CHI,22,25,446,337,109,6,55,2,2,85,43,2015
9,11,SD,KC,33,22,385,232,153,5,35,0,5,203,41,2008
10,12,SD,JAC,25,20,420,318,102,6,35,1,3,124,30,1716
11,13,SD,DEN,17,19,293,159,134,3,18,1,5,183,32,1977
12,14,SD,KC,10,18,329,179,150,8,53,2,4,154,34,1732
13,15,SD,MIA,14,13,231,187,44,9,72,1,8,366,40,1267
14,16,SD,OAK,23,14,281,175,106,16,121,1,8,400,50,2001
15,17,SD,DEN,27,21,503,293,210,6,35,5,3,134,45,1528
